objectid,filename,title,description,creator,subject,date,formato_fisico,awards,track_count,duration,tracks,format
item011,item011.jpg,Me muevo con dios,"Lanzado en 2023, es el proyecto más ambicioso del artista canario hasta la fecha. Un álbum conceptual y denso que equilibra el flexeo del éxito con una introspección profunda sobre la fe, la lealtad y el precio de la fama.
Con una producción impecable y una lista de temas extensa, Cruzzi demuestra por qué es el 'tiburón' de la escena. Canciones como 'Sangre y Fe' (con Quevedo) o '4 Prez' son demostraciones de técnica y carisma que lo elevan al olimpo del rap en español.",Cruz Cafuné,Trap;Rap,2023,Digital;Vinilo,"Disco de Platino en España (PROMUSICAE).",23,1:16h,TURBO // Epifanía;Dios #1;s3_e07_theboondocks_dvdrip.mpeg;BABI BOI;4 PREZ;Cangrinaje;Ja Morant;FAXXXxxx;ABAMA Jr. Suite;Folelé;RE-UP;Close friends;1€ cada vez;Sangre y Fe;goofy ahh luv joint;LUISAViAROMA;Retro 11s;Corintios 13:12;Movezz en silencio;G WAGON;Practice;Fabiola;Me Muevo Con Dios,image/jpeg
item012,item012.jpg,Flakk Daniel's Lp,"El disco de 2018 que marcó el punto de inflexión en la carrera de Rels B hacia el estrellato masivo. Aquí, el mallorquín pule su sonido característico: una mezcla suave y elegante de hip-hop, R&B y pop que entra sola.
Es un trabajo hedonista y romántico, perfecto para escuchar en bucle. Temas como 'Lejos de ti' o 'Es mejor' se convirtieron en clásicos instantáneos gracias a su simplicidad melódica y a la capacidad de Skinny Flakk para conectar emocionalmente con el oyente.",Rels b,R&B;Hip-hop;Pop urbano,2018,Digital,Múltiples discos de oro y platino por sus canciones,10,29:29min,Open Your Eyes;Love It;Es Mejor;Reina de Pikas;Diles;Buenos Genes;Flakk's Plan;Dime Que No;Lejos de Ti;Si Me Muero,image/jpeg
item013,item013.jpg,Portate Bien!,"Publicado en mayo de 2025, este segundo álbum confirma a Mvrk como la punta de lanza de la nueva ola urbana. Es un trabajo agresivo, directo y cargado de personalidad que mezcla el trap de vanguardia con toques pop y electrónicos.
Con 18 temas y colaboraciones estratégicas, el disco rechaza las etiquetas convencionales. Canciones como 'DAMN' (con D.Valentino) o 'Suena COOL' demuestran un sonido fresco y desenfadado que conecta perfectamente con la generación más joven, consolidando su ascenso desde el underground.",Mvrk,Trap;Drill;Urbano,2025,Digital,Álbum Destacado del Plug (Fleek Mag),18,46:44min,YOTMB;tú sabes;Fell In Love;DAMN;Facetime!;Suena COOL;zigzag;Auxilio;Warning;CONFÍO DE +;FOOL:interludio;NoSTOi;byeBYE;ME FUI;Tenía FE;Dos Caras;Apretar +;Linda Vida Pls Behave,image/jpeg
item014,item014.jpg,Paraíso,"Lanzado en 2022, este álbum es pura energía electrónica fusionada con el reguetón más bailable. Mora se confirma no solo como un gran compositor, sino como un visionario de la producción, creando un sonido experimental que invita a la fiesta constante.
El disco está diseñado para sonar en clubes y festivales, con transiciones fluidas y beats futuristas. Éxitos virales como 'Memorias' o 'La Inocente' destacan en un tracklist que no da respiro y que elevó al puertorriqueño a la primera línea del género.",Mora,Reggaetón;Pop urbano,2022,Digital,"Disco de Oro en España, Chile y Colombia.",14,43:08min,BIENVENIDA AL PARAÍSO;DOMINGO DE BOTE;APA;CALENTÓN;COSITAS;EN LA ORILLA;MODELITO;CASUALIDAD;AIRBNB;TÚ SABES DONDE VIVO;EIVISSA;COMO HAS ESTAU?;MALAFAMA;QUÉ HABILIDAD,image/jpeg
item015,item015.jpg,Ameri,"El proyecto más esperado y personal de Duki, que representa la culminación de su viaje desde las batallas de gallos hasta llenar estadios. Concebido como su 'nirvana' musical, es un álbum donde el argentino busca la trascendencia sonora y lírica.
Centrado en un sonido trap evolucionado y atmosférico, Ameri explora la soledad en la cima y la madurez artística. Es el testimonio de una leyenda viva que, tras probar el reguetón, vuelve a sus raíces para entregar el disco definitivo de su carrera.",Duki,Trap argentino;Drill;Rap,2024,Digital;Vinilo,Disco de Oro en España.,15,45:48min,Leitmotiv;Nueva Era;Brindis;Buscarte Lejos;Imperio;Hardaway;Cine 🚬;Vida de Rock;No Drama;Barro;Un Día Más;Trato de Estar Bien;Wake Up & Bake Up;Constelación;Ameri,image/jpeg
item016,item016.jpg,Planes de medianoche,"Lanzado a principios de 2024, es el álbum que consolidó a Young Cister como una de las voces más versátiles y elegantes de Chile. Un trabajo nocturno y emotivo que navega por el R&B, el trap melódico y la electrónica suave.
El disco destaca por su cohesión y sensibilidad, ideal para escuchas nocturnas. A través de sus letras, Cister explora el amor y las relaciones modernas con un estilo sofisticado que lo diferencia del resto de la escena urbana chilena.",Young Cister,Reggaetón;R&B urbano,2024,Digital;Vinilo,"Gaviotas de Oro y Plata (Festival Viña del Mar 2024).",13,37:59min,humoOo;Bellaka;CON LOS AROS 22;BADGYAL;HASTA LA LUNA;Hennessy;Perfecta;PUERTO ESCONDIDO;RICO;Vivo Cabrón;sol & prada;CAPRIXOS;graciaaas :),image/jpeg
item017,item017.jpg,Sempre Cor Deluxe,"Lanzada en abril de 2025, esta edición expandida del álbum debut de C Marí reafirma al valenciano como una de las revelaciones del año. El proyecto amplía su universo sonoro mezclando con naturalidad el pop, la música urbana y toques underground.
La versión Deluxe añade temas esenciales que completan la narrativa del disco original. Canciones como 'Babalà' o 'Sempapa' (junto a Mushkaa) destacan por su frescura y demuestran la capacidad del artista para crear melodías pegadizas sin perder su esencia autoral.",C Mari,Trap;Pop urbano,2025,Digital,Top Discos Nacionales del Año (Acero Magazine),20,58:55min,Intro;2AM;IBAN;Bachata y Reggaeton;Richter;Sempapa;Tan Lines;La Ropa;Qtalhoy;Contacto;Mil Veces;Martiño Rivas Freestyle;DSPB;Mi Primera Cana;Jugador;Ninja Defuse Freestyle;Babalà;90%;Dime que No;+ Duro,image/jpeg
item018,item018.jpg,Atrevido,"El debut explosivo de 2020 que puso al barrio de La Boca en el mapa mundial. Trueno se presenta con una fuerza arrolladora, fusionando el rap de la vieja escuela con el trap moderno y la identidad argentina.
Es un disco lleno de orgullo, flow y barras afiladas. El éxito mundial 'Mamichula' y el himno 'Sangría' (con Wos) son los pilares de un álbum que demostró que el freestyle argentino podía traducirse en obras de estudio de altísima calidad.",Trueno,Rap;Hip-hop;Boom bap,2020,Digital,"Cuádruple Disco de Platino en Argentina.",10,30:19min,2.0.1.9;Rain II;Atrevido;Cucumelo;G.P.S.;Azul y Oro (Freestyle);Sangría;Ñeri;Background;Mamichula,image/jpeg
item019,item019.jpg,PO2054AZ(Vol.II),"Publicado en 2023, es la continuación del viaje introspectivo del artista gallego. Un álbum ambicioso y ecléctico que desafía los géneros, mezclando pop, garaje y sonidos urbanos con una estética visual y sonora sumamente cuidada.
Sen Senra se confirma aquí como un crooner moderno, capaz de transmitir emoción pura con una producción sofisticada. Temas como 'Uno de eses gatos' o 'No quiero ser un cantante' reflejan su búsqueda de la belleza y la originalidad en un mercado saturado.",Sen Senra,Indie pop;R&B alternativo,2024,Digital;CD;Vinilo,"Mejores Discos Nacionales del Año MondoSonoro",24,53:56min,Mensaje De Audio 1;New Me;Entrelazados;Mis Amigos Opinan Lo Mismo (Este Volumen Pide Outro);Hermosa Casualidad;Enterrar La Mala Suerte;Para Los Que Llegan Tarde-Interludio;Ataúd;Incondicional;Recorrerte;Un Cielo Azul;Mensaje De Audio 2;YE YE;Permiso;Llorando x 1;Mensaje De Audio 3;Romper La Curiosidad;Muchísimo;Meu Amore;Quiero Decirte;Kintsugi;Mensaje De Audio 4;No Se Preocupe;Monolito,image/jpeg
item020,item020.jpg,Concreto,"Lanzado en febrero de 2025, este mixtape consolida a L'Haine como una voz imprescindible del underground español. Es un trabajo crudo y atmosférico, que captura la frialdad de la 'jungla de cemento' con producciones oscuras y letras viscerales.
El proyecto destaca por su narrativa urbana y su sonido envolvente, cercano al drill y al trap emocional. Temas como 'Comodines' o las colaboraciones con MVRK muestran a un artista que ha sabido pulir su estilo único, convirtiendo la tristeza y la calle en arte.",L'Haine,Rap;Trap,2025,Digital;Vinilo,DSCVR Artists to Watch (Vevo),7,21:08min,KIM;CANGREJOS;HOT!;COMODINES;COLORES;MARLO;CDC,image/jpeg
item021,item021.jpg,Lux,"Lanzado en noviembre de 2025, el cuarto álbum de estudio de Rosalía vuelve a romper esquemas. Alejándose del minimalismo de Motomami, la catalana se adentra en el pop orquestal y el avant-pop, creando una obra grandilocuente y luminosa.
Lux es un ejercicio de virtuosismo vocal y producción compleja, donde lo clásico se encuentra con el futuro. Un disco conceptual que explora la claridad y la esperanza, demostrando una vez más que Rosalía juega en una liga propia, muy por delante de las tendencias.",Rosalia,Pop,2025,Digital;CD;Vinilo,Disco de Platino en España,15,49:35min,Sexo Violencia y Llantas;Reliquia;Divinize;Porcelana;Mio Cristo Piange Diamanti;Berghain;La Perla;Mundo Nuevo;De Madrugá;Dios Es Un Stalker;La Yugular;Sauvignon Blanc;Memória;Magnolias,image/jpeg
item022,item022.jpg,Rosa&Rojo,"Publicado a finales de 2024, este trabajo posiciona a D.Valentino como una de las figuras emergentes más interesantes. El álbum navega por una dualidad emocional y sonora, fusionando melodías urbanas con una sensibilidad indie muy particular.
Con una producción cuidada y un tono melancólico, el disco ofrece temas como 'marihuana' y 'entre la luna y yo'. Es una carta de presentación sólida que destaca por su honestidad y por un sonido envolvente que atrapa desde la primera escucha.",D.Valentino,R&B,2024,Digital;CD,#59 de la lista “Top 100 Álbumes España”,12,29:09min,Koro-sensei;marihuana;pov;fvck;voodoo;Entre la luna y yo;instante;demasiao;play;platanomelon;mikasa;Rosa&Rojo,image/jpeg
item023,item023.jpg,N2STAL5IA,"Lanzado en noviembre de 2025, este álbum es un viaje emocional a la crisis de los 25 años. Natalia Lacunza entrega su obra más madura y electrónica, jugando con el concepto de la nostalgia generacional y el crecimiento personal.
El disco combina el synth-pop con letras íntimas y vulnerables. Canciones como 'Singapur' o 'Plastilina' destacan en un tracklist que funciona como un abrazo para quienes se sienten perdidos en la vida adulta, consolidando su sello de identidad único en el pop español.",Natalia Lacunza,Pop;R&B,2025,Digital;CD;Vinilo,#8 de la lista “Top 100 Álbumes España”,14,36:36min,Apego Feroz;SABES QUÉ???;CANCIONES SOBRE NADA;Mal De 2;Un Castigo;Faber Castell;SINGAPUR;Rápido;Te Enamoraste;Lo De Antes;UnDosTres;Otro Culito;NOKIA;PLASTILINA,image/jpeg
item024,item024.jpg,Nectar,"Lanzado en 2020, este álbum terminó de consagrar la transformación de Joji de fenómeno de internet a artista de culto del R&B alternativo. Es una obra larga, melancólica y cinematográfica, llena de arreglos orquestales y voces etéreas.
A través de sus 18 canciones, Joji explora la fama, el desamor y la soledad con una belleza inquietante. Éxitos globales como 'Run' o 'Sanctuary' demuestran su talento para crear melodías pop perfectas envueltas en una atmósfera oscura y espacial.",Joji,R&B alternativo;Pop-Rock Español,2020,Digital;CD;Vinilo,Álbum de oro,18,53:14min,Ew;MODUS;Tick Tock; Daylight;Upgrade;Gimme Love;Run;Sanctuary;High Hopes (feat. Omar Apollo);Nitrous;Pretty Boy (feat. Lil Yachty);Normal People (feat. Rey Brown);Afterthought (feat. Benee);Mr. Hollywood;777;Reanimator (feat. Yves Tumor);Like You Do;Your Man,image/jpeg
