title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
"Me muevo con dios","Cruz Cafuné","2023","Lanzado en 2023, es el proyecto más ambicioso del artista canario hasta la fecha. Un álbum conceptual y denso que equilibra el flexeo del éxito con una introspección profunda sobre la fe, la lealtad y el precio de la fama.
Con una producción impecable y una lista de temas extensa, Cruzzi demuestra por qué es el &#39;tiburón&#39; de la escena. Canciones como &#39;Sangre y Fe&#39; (con Quevedo) o &#39;4 Prez&#39; son demostraciones de técnica y carisma que lo elevan al olimpo del rap en español.","Trap;Rap","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item011"
"Flakk Daniel&#39;s Lp","Rels b","2018","El disco de 2018 que marcó el punto de inflexión en la carrera de Rels B hacia el estrellato masivo. Aquí, el mallorquín pule su sonido característico: una mezcla suave y elegante de hip-hop, R&amp;B y pop que entra sola.
Es un trabajo hedonista y romántico, perfecto para escuchar en bucle. Temas como &#39;Lejos de ti&#39; o &#39;Es mejor&#39; se convirtieron en clásicos instantáneos gracias a su simplicidad melódica y a la capacidad de Skinny Flakk para conectar emocionalmente con el oyente.","R&amp;B;Hip-hop;Pop urbano","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item012"
"Portate Bien!","Mvrk","2025","Publicado en mayo de 2025, este segundo álbum confirma a Mvrk como la punta de lanza de la nueva ola urbana. Es un trabajo agresivo, directo y cargado de personalidad que mezcla el trap de vanguardia con toques pop y electrónicos.
Con 18 temas y colaboraciones estratégicas, el disco rechaza las etiquetas convencionales. Canciones como &#39;DAMN&#39; (con D.Valentino) o &#39;Suena COOL&#39; demuestran un sonido fresco y desenfadado que conecta perfectamente con la generación más joven, consolidando su ascenso desde el underground.","Trap;Drill;Urbano","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item013"
"Paraíso","Mora","2022","Lanzado en 2022, este álbum es pura energía electrónica fusionada con el reguetón más bailable. Mora se confirma no solo como un gran compositor, sino como un visionario de la producción, creando un sonido experimental que invita a la fiesta constante.
El disco está diseñado para sonar en clubes y festivales, con transiciones fluidas y beats futuristas. Éxitos virales como &#39;Memorias&#39; o &#39;La Inocente&#39; destacan en un tracklist que no da respiro y que elevó al puertorriqueño a la primera línea del género.","Reggaetón;Pop urbano","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item014"
"Ameri","Duki","2024","El proyecto más esperado y personal de Duki, que representa la culminación de su viaje desde las batallas de gallos hasta llenar estadios. Concebido como su &#39;nirvana&#39; musical, es un álbum donde el argentino busca la trascendencia sonora y lírica.
Centrado en un sonido trap evolucionado y atmosférico, Ameri explora la soledad en la cima y la madurez artística. Es el testimonio de una leyenda viva que, tras probar el reguetón, vuelve a sus raíces para entregar el disco definitivo de su carrera.","Trap argentino;Drill;Rap","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item015"
"Planes de medianoche","Young Cister","2024","Lanzado a principios de 2024, es el álbum que consolidó a Young Cister como una de las voces más versátiles y elegantes de Chile. Un trabajo nocturno y emotivo que navega por el R&amp;B, el trap melódico y la electrónica suave.
El disco destaca por su cohesión y sensibilidad, ideal para escuchas nocturnas. A través de sus letras, Cister explora el amor y las relaciones modernas con un estilo sofisticado que lo diferencia del resto de la escena urbana chilena.","Reggaetón;R&amp;B urbano","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item016"
"Sempre Cor Deluxe","C Mari","2025","Lanzada en abril de 2025, esta edición expandida del álbum debut de C Marí reafirma al valenciano como una de las revelaciones del año. El proyecto amplía su universo sonoro mezclando con naturalidad el pop, la música urbana y toques underground.
La versión Deluxe añade temas esenciales que completan la narrativa del disco original. Canciones como &#39;Babalà&#39; o &#39;Sempapa&#39; (junto a Mushkaa) destacan por su frescura y demuestran la capacidad del artista para crear melodías pegadizas sin perder su esencia autoral.","Trap;Pop urbano","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item017"
"Atrevido","Trueno","2020","El debut explosivo de 2020 que puso al barrio de La Boca en el mapa mundial. Trueno se presenta con una fuerza arrolladora, fusionando el rap de la vieja escuela con el trap moderno y la identidad argentina.
Es un disco lleno de orgullo, flow y barras afiladas. El éxito mundial &#39;Mamichula&#39; y el himno &#39;Sangría&#39; (con Wos) son los pilares de un álbum que demostró que el freestyle argentino podía traducirse en obras de estudio de altísima calidad.","Rap;Hip-hop;Boom bap","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item018"
"PO2054AZ(Vol.II)","Sen Senra","2024","Publicado en 2023, es la continuación del viaje introspectivo del artista gallego. Un álbum ambicioso y ecléctico que desafía los géneros, mezclando pop, garaje y sonidos urbanos con una estética visual y sonora sumamente cuidada.
Sen Senra se confirma aquí como un crooner moderno, capaz de transmitir emoción pura con una producción sofisticada. Temas como &#39;Uno de eses gatos&#39; o &#39;No quiero ser un cantante&#39; reflejan su búsqueda de la belleza y la originalidad en un mercado saturado.","Indie pop;R&amp;B alternativo","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item019"
"Concreto","L&#39;Haine","2025","Lanzado en febrero de 2025, este mixtape consolida a L&#39;Haine como una voz imprescindible del underground español. Es un trabajo crudo y atmosférico, que captura la frialdad de la &#39;jungla de cemento&#39; con producciones oscuras y letras viscerales.
El proyecto destaca por su narrativa urbana y su sonido envolvente, cercano al drill y al trap emocional. Temas como &#39;Comodines&#39; o las colaboraciones con MVRK muestran a un artista que ha sabido pulir su estilo único, convirtiendo la tristeza y la calle en arte.","Rap;Trap","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item020"
"Lux","Rosalia","2025","Lanzado en noviembre de 2025, el cuarto álbum de estudio de Rosalía vuelve a romper esquemas. Alejándose del minimalismo de Motomami, la catalana se adentra en el pop orquestal y el avant-pop, creando una obra grandilocuente y luminosa.
Lux es un ejercicio de virtuosismo vocal y producción compleja, donde lo clásico se encuentra con el futuro. Un disco conceptual que explora la claridad y la esperanza, demostrando una vez más que Rosalía juega en una liga propia, muy por delante de las tendencias.","Pop","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item021"
"Rosa&amp;Rojo","D.Valentino","2024","Publicado a finales de 2024, este trabajo posiciona a D.Valentino como una de las figuras emergentes más interesantes. El álbum navega por una dualidad emocional y sonora, fusionando melodías urbanas con una sensibilidad indie muy particular.
Con una producción cuidada y un tono melancólico, el disco ofrece temas como &#39;marihuana&#39; y &#39;entre la luna y yo&#39;. Es una carta de presentación sólida que destaca por su honestidad y por un sonido envolvente que atrapa desde la primera escucha.","R&amp;B","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item022"
"N2STAL5IA","Natalia Lacunza","2025","Lanzado en noviembre de 2025, este álbum es un viaje emocional a la crisis de los 25 años. Natalia Lacunza entrega su obra más madura y electrónica, jugando con el concepto de la nostalgia generacional y el crecimiento personal.
El disco combina el synth-pop con letras íntimas y vulnerables. Canciones como &#39;Singapur&#39; o &#39;Plastilina&#39; destacan en un tracklist que funciona como un abrazo para quienes se sienten perdidos en la vida adulta, consolidando su sello de identidad único en el pop español.","Pop;R&amp;B","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item023"
"Nectar","Joji","2020","Lanzado en 2020, este álbum terminó de consagrar la transformación de Joji de fenómeno de internet a artista de culto del R&amp;B alternativo. Es una obra larga, melancólica y cinematográfica, llena de arreglos orquestales y voces etéreas.
A través de sus 18 canciones, Joji explora la fama, el desamor y la soledad con una belleza inquietante. Éxitos globales como &#39;Run&#39; o &#39;Sanctuary&#39; demuestran su talento para crear melodías pop perfectas envueltas en una atmósfera oscura y espacial.","R&amp;B alternativo;Pop-Rock Español","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item024"

